价格,面积,室,卫,所在楼层,总楼层,位置1,位置2,小区,地铁站名,地铁距离
1330.0,9.0,3,1,9,11,房山区,良乡大学城西,紫汇家园,房山线良乡大学城西站,550
5810.0,39.0,1,1,9,12,东城区,广渠门内,绿景苑,7号线广渠门内站,650
4820.0,36.0,1,1,1,6,东城区,景泰,定安里,14号线东段景泰站,450
1850.0,9.0,4,2,2,27,朝阳区,管庄,京通苑阳光华苑,八通线管庄站,500
9000.0,116.0,2,1,8,16,朝阳区,十里堡,天天朝阳,6号线十里堡站,850
1720.0,9.0,4,1,10,28,通州区,土桥,华远铭悦,八通线土桥站,950
1790.0,10.0,5,2,1,6,朝阳区,八里桥,西马庄园,八通线八里桥站,1150
5140.0,49.0,1,1,2,18,丰台区,海户屯,西罗园南里,8号线南段海户屯站,650
2260.0,13.0,3,1,8,16,朝阳区,管庄,众亿嘉园,八通线管庄站,800
4400.0,56.0,1,1,8,22,通州区,物资学院路,悦澜水岸家园,6号线物资学院路站,2350
2700.0,9.0,2,1,11,12,丰台区,刘家窑,南三环东路,5号线刘家窑站,150
2320.0,9.0,3,1,3,26,朝阳区,高碑店,金隅汇星苑,6号线青年路站,1450
2700.0,10.0,4,1,4,13,朝阳区,青年路,青年汇佳园,6号线青年路站,250
2590.0,10.0,4,2,22,26,朝阳区,四惠东,都市经典家园,"1号线,八通线四惠东站",700
1470.0,11.0,3,1,2,6,通州区,通州北关,刘庄新村,6号线通州北关站,2700
1860.0,9.0,3,1,16,22,朝阳区,东坝中街,北京城建福润四季,3号线东坝中街站,2800
3440.0,18.0,6,2,9,9,朝阳区,朝阳门,大方家胡同,"2号线,6号线朝阳门站",650
1790.0,10.0,5,1,20,20,通州区,九棵树,龙湖蔚澜香醍,八通线果园站,1050
7360.0,88.0,2,1,4,28,朝阳区,潘家园,潘家园南里,10号线潘家园站,950
1450.0,12.0,3,1,5,6,房山区,良乡大学城西,鸿顺园西区,房山线良乡大学城西站,350
1740.0,11.0,3,1,6,6,顺义区,石门,前进花园石门苑,15号线石门站,800
2460.0,11.0,3,1,21,29,朝阳区,青年路,金隅泰和园,6号线青年路站,1250
5170.0,47.0,1,1,4,24,丰台区,木樨园,珠江骏景北区,8号线南段木樨园站,550
